"","INSTNM","GRAD_DEBT_MDN"
"389","Hope International University","23750"
"390","Concorde Career College-San Diego","9500"
"391","Palo Alto University","20334"
"392","Pacific Oaks College","26319"
"393","Pacific School of Religion","PrivacySuppressed"
"394","Pacific States University","PrivacySuppressed"
"395","Pacific Union College","27000"
"396","University of the Pacific","19500"
"397","Palo Verde College","PrivacySuppressed"
"398","Palomar College","PrivacySuppressed"
"399","Pasadena City College","6151"
"400","Pepperdine University","25000"
"401","Pitzer College","17725"
"402","Platt College-San Diego","14875"
"403","Point Loma Nazarene University","23000"
"404","Pomona College","12000"
"405","Porterville College","PrivacySuppressed"
"406","Professional Institute of Beauty","3455"
"407","Santa Ana College","6991"
"408","Pardee RAND Graduate School","NULL"
"409","Shasta School of Cosmetology","PrivacySuppressed"
"410","University of Redlands","26249"
"411","College of the Redwoods","8290"
"412","Salon Success Academy-Upland","7177"
"413","Salon Success Academy-Corona","7177"
"414","Rio Hondo College","8063"
"415","Riverside City College","8000"
"416","Rosemead Beauty School","PrivacySuppressed"
"417","Dongguk University Los Angeles","PrivacySuppressed"
"418","Sacramento City College","10500"
"419","Saddleback College","9500"
"420","Samuel Merritt University","20389"
"421","San Diego City College","7724"
"422","San Diego Mesa College","5625"
"423","San Diego Miramar College","6440"
"424","San Diego State University","15000"
"425","University of San Diego","23169"
"426","San Francisco Art Institute","25000"
"427","San Francisco Conservatory of Music","26835"
"428","San Francisco State University","15369"
"429","University of Redlands Graduate School of Theology","NULL"
"430","University of San Francisco","23250"
"431","San Joaquin College of Law","PrivacySuppressed"
"432","San Joaquin Delta College","8617"
"433","San Joaquin Valley College-Visalia","10673"
"434","William Jessup University","22334"
"435","San Jose City College","PrivacySuppressed"
"436","San Jose State University","15513"
"437","College of San Mateo","12000"
"438","Santa Barbara Business College-Bakersfield","16163"
"439","Santa Barbara Business College-Santa Maria","8770"
"440","Santa Barbara City College","11725"
"441","Santa Clara University","19500"
"442","Santa Monica College","6750"
"443","Santa Rosa Junior College","9951"
"444","Saybrook University","PrivacySuppressed"
"445","Scripps College","14829"
"446","College of the Sequoias","5625"
"447","Shasta Bible College and Graduate School","PrivacySuppressed"
"448","Shasta College","12600"
"449","Sierra College","15415"
"450","Sierra College of Beauty","PrivacySuppressed"
"451","Trinity Law School","25125"
"452","Simpson University","19742"
"453","College of the Siskiyous","12000"
"454","Charles A Jones Career and Education Center","5755"
"455","Skyline College","9500"
"456","San Bernardino Valley College","PrivacySuppressed"
"457","Saint Mary's College of California","24000"
"458","Solano Community College","10500"
"459","Sonoma State University","17999"
"460","South Baylo University","PrivacySuppressed"
"461","South Coast College","21790"
"462","Vanguard University of Southern California","22999"
"463","Concorde Career College-Garden Grove","11898"
"464","Southwestern College","4900"
"465","St John's Seminary","NULL"
"466","Starr King School for the Ministry","PrivacySuppressed"
"467","Marshall B Ketchum University","PrivacySuppressed"
"468","Southern California Institute of Architecture","33750"
"469","University of Southern California","18956"
"470","Southwestern Law School","PrivacySuppressed"
"471","Taft College","PrivacySuppressed"
"472","Claremont School of Theology","PrivacySuppressed"
"473","Thomas Aquinas College","18000"
"474","Epic Bible College","PrivacySuppressed"
"475","United Education Institute-Huntington Park Campus","9500"
"476","Concorde Career College-San Bernardino","9500"
"477","Concorde Career College-North Hollywood","11000"
"478","Ventura College","10573"
"479","The Santa Barbara and Ventura Colleges of Law at Ventura","PrivacySuppressed"
"480","Victor Valley College","9300"
"481","Berkeley City College","PrivacySuppressed"
"482","Walden University","20834"
"483","Waynes College of Beauty","PrivacySuppressed"
"484","West Hills College-Coalinga","6800"
"485","West Los Angeles College","11188"
"486","West Valley College","PrivacySuppressed"
"487","Carrington College-Sacramento","10813"
"488","Westminster Theological Seminary in California","NULL"
"489","Westmont College","23250"
"490","Whittier College","25000"
"491","Woodbury University","27000"
"492","The Wright Institute","PrivacySuppressed"
"493","Thomas Jefferson School of Law","PrivacySuppressed"
"494","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","PrivacySuppressed"
"495","Yuba College","PrivacySuppressed"
"496","The Salon Professional Academy-Grand Junction","10683"
"497","Adams State University","21500"
"498","Aims Community College","7725"
"499","Arapahoe Community College","13050"
"500","Bel-Rea Institute of Animal Technology","23486"
"501","University of Colorado Denver/Anschutz Medical Campus","21341"
"502","University of Colorado Colorado Springs","20498"
"503","Spartan College of Aeronautics and Technology","15052"
"504","University of Colorado Boulder","19500"
"505","Colorado Christian University","27700"
"506","Colorado College","18303"
"507","Concorde Career College-Aurora","9500"
"508","Colorado Mountain College","11000"
"509","Colorado Northwestern Community College","12000"
"510","Colorado School of Mines","23250"
"511","Colorado School of Trades","20000"
"512","Colorado State University-Fort Collins","20500"
"513","Colorado Technical University-Colorado Springs","30490"
"514","Community College of Aurora","11500"
"515","CollegeAmerica-Denver","25712"
"516","Technical College of the Rockies","5500"
"517","Community College of Denver","12178"
"518","Lincoln College of Technology-Denver","11730"
"519","Denver Seminary","PrivacySuppressed"
"520","University of Denver","20948"
"521","Emily Griffith Technical College","PrivacySuppressed"
"522","Fort Lewis College","18013"
"523","Front Range Community College","13000"
"524","Iliff School of Theology","PrivacySuppressed"
"525","International Salon and Spa Academy","6333"
"526","Lamar Community College","10000"
"527","Colorado Mesa University","22000"
