"","INSTNM","GRAD_DEBT_MDN"
"3157","Tennessee College of Applied Technology-McKenzie","PrivacySuppressed"
"3158","Genesis Career College-Cookeville","6333"
"3159","Meharry Medical College","PrivacySuppressed"
"3160","Memphis College of Art","PrivacySuppressed"
"3161","Tennessee College of Applied Technology-Memphis","PrivacySuppressed"
"3162","University of Memphis","24250"
"3163","Memphis Theological Seminary","PrivacySuppressed"
"3164","Middle Tennessee State University","20500"
"3165","Middle Tennessee School of Anesthesia Inc","NULL"
"3166","Tennessee College of Applied Technology-Morristown","PrivacySuppressed"
"3167","Motlow State Community College","PrivacySuppressed"
"3168","Tennessee College of Applied Technology-Murfreesboro","PrivacySuppressed"
"3169","Lincoln College of Technology-Nashville","11730"
"3170","Nashville State Community College","10815"
"3171","Tennessee College of Applied Technology-Newbern","PrivacySuppressed"
"3172","Tennessee College of Applied Technology-Paris","PrivacySuppressed"
"3173","Tennessee College of Applied Technology-Pulaski","PrivacySuppressed"
"3174","Rhodes College","22905"
"3175","Tennessee College of Applied Technology-Ripley","PrivacySuppressed"
"3176","Roane State Community College","8030"
"3177","Tennessee College of Applied Technology-Crump","PrivacySuppressed"
"3178","Southwest Tennessee Community College","PrivacySuppressed"
"3179","Tennessee College of Applied Technology-Shelbyville","PrivacySuppressed"
"3180","The University of the South","24238"
"3181","Tennessee College of Applied Technology-Oneida-Huntsville","PrivacySuppressed"
"3182","Tennessee College of Applied Technology-Crossville","PrivacySuppressed"
"3183","Tennessee College of Applied Technology-McMinnville","PrivacySuppressed"
"3184","Tennessee College of Applied Technology-Jackson","PrivacySuppressed"
"3185","Tennessee College of Applied Technology-Knoxville","PrivacySuppressed"
"3186","Tennessee College of Applied Technology-Whiteville","PrivacySuppressed"
"3187","Pellissippi State Community College","8182"
"3188","Southern Adventist University","25000"
"3189","Southern College of Optometry","PrivacySuppressed"
"3190","Tennessee Wesleyan University","22372"
"3191","The University of Tennessee-Chattanooga","19682"
"3192","The University of Tennessee-Knoxville","20500"
"3193","The University of Tennessee-Martin","21500"
"3194","Tennessee School of Beauty of Knoxville Inc","7000"
"3195","Tennessee State University","27000"
"3196","Tennessee Technological University","16144"
"3197","Trevecca Nazarene University","18750"
"3198","Northeast State Community College","5808"
"3199","Tusculum University","24141"
"3200","Union University","20834"
"3201","Vanderbilt University","14509"
"3202","Volunteer State Community College","6983"
"3203","Walters State Community College","PrivacySuppressed"
"3204","William R Moore College of Technology","PrivacySuppressed"
"3205","Abilene Christian University","24000"
"3206","Alvin Community College","5500"
"3207","Amarillo College","14894"
"3208","Amberton University","PrivacySuppressed"
"3209","Angelina College","PrivacySuppressed"
"3210","Angelo State University","19809"
"3211","Arlington Baptist University","26000"
"3212","Arlington Career Institute","8446"
"3213","The Art Institute of Houston","31000"
"3214","Austin College","24170"
"3215","Austin Community College District","10000"
"3216","Austin Presbyterian Theological Seminary","PrivacySuppressed"
"3217","Baldwin Beauty School-South Austin","7322"
"3218","Baptist Health System School of Health Professions","16126"
"3219","Baptist Missionary Association Theological Seminary","PrivacySuppressed"
"3220","Baylor College of Medicine","PrivacySuppressed"
"3221","Baylor University","23550"
"3222","Coastal Bend College","PrivacySuppressed"
"3223","Blinn College","11500"
"3224","Remington College-Dallas Campus","13910"
"3225","Vet Tech Institute of Houston","12000"
"3226","Brazosport College","5470"
"3227","Brookhaven College","NULL"
"3228","Cedar Valley College","NULL"
"3229","Central Texas College","7250"
"3230","Charles and Sues School of Hair Design","9833"
"3231","Cisco College","PrivacySuppressed"
"3232","Clarendon College","10372"
"3233","Concordia University Texas","22560"
"3234","North Central Texas College","11454"
"3235","Texas A & M University-Corpus Christi","23347"
"3236","Cosmetology Career Center LLC","9333"
"3237","Dallas Baptist University","20500"
"3238","Dallas Christian College","26625"
"3239","Dallas Institute of Funeral Service","12272"
"3240","Dallas Theological Seminary","PrivacySuppressed"
"3241","University of Dallas","23250"
"3242","Del Mar College","5250"
"3243","East Texas Baptist University","23250"
"3244","Texas A&M University-Texarkana","18749"
"3245","Texas A & M University-Commerce","20500"
"3246","Eastfield College","NULL"
"3247","Dallas College","9750"
"3248","El Paso Community College","5538"
"3249","Western Technical College","14572"
"3250","Western Technical College","14572"
"3251","Episcopal Theological Seminary of the Southwest","NULL"
"3252","Exposito School of Hair Design","PrivacySuppressed"
"3253","Miami International University of Art & Design-Art Institute Dallas","29453"
"3254","Fort Worth Beauty School","4917"
"3255","Frank Phillips College","7750"
"3256","Galveston College","9687"
"3257","Grayson College","11584"
"3258","Hallmark University","23861"
"3259","Hardin-Simmons University","24644"
"3260","Trinity Valley Community College","10500"
"3261","Hill College","10500"
"3262","Houston Baptist University","23421"
"3263","University of Houston-Clear Lake","17871"
"3264","Houston Community College","14250"
"3265","University of Houston-Downtown","18750"
"3266","University of Houston-Victoria","19201"
"3267","University of Houston","18500"
"3268","Howard College","9274"
"3269","Howard Payne University","25000"
"3270","Huston-Tillotson University","28056"
"3271","University of the Incarnate Word","27000"
"3272","Jacksonville College-Main Campus","PrivacySuppressed"
"3273","Jarvis Christian College","29000"
"3274","KD Conservatory College of Film and Dramatic Arts","12632"
"3275","Kilgore College","15750"
"3276","Lamar University","21119"
"3277","Lamar State College-Orange","10765"
"3278","Lamar State College-Port Arthur","14230"
"3279","Laredo Beauty College Inc","PrivacySuppressed"
"3280","Laredo College","2334"
"3281","Texas A & M International University","15000"
"3282","Lee College","8000"
"3283","LeTourneau University","26000"
"3284","Lincoln College of Technology-Grand Prairie","11730"
"3285","Lubbock Christian University","20837"
"3286","College of the Mainland","5750"
"3287","University of Mary Hardin-Baylor","26000"
"3288","McLennan Community College","10761"
"3289","McMurry University","27000"
"3290","Covenant School of Nursing and Allied Health","12971"
"3291","Midland College","14875"
"3292","Midwestern State University","22067"
"3293","William Edge Institute","PrivacySuppressed"
"3294","Wade College","25540"
"3295","Southern Careers Institute-Austin","8708"
"3296","Mountain View College","NULL"
"3297","Tint School of Makeup & Cosmetology","5935"
"3298","Navarro College","11000"
"3299","Lone Star College System","8000"
"3300","North Lake College","NULL"
"3301","University of North Texas","19200"
"3302","Northeast Texas Community College","10500"
"3303","Oblate School of Theology","NULL"
"3304","Ocean Corporation","9500"
"3305","Odessa College","8000"
"3306","Ogle School Hair Skin Nails-Arlington","7917"
"3307","Ogle School Hair Skin Nails-Ft Worth","7917"
"3308","Our Lady of the Lake University","25000"
"3309","The University of Texas Rio Grande Valley","12981"
"3310","Texas Southmost College","8809"
"3311","Panola College","12375"
"3312","Paris Junior College","4500"
"3313","Paul Quinn College","24633"
"3314","Prairie View A & M University","27330"
"3315","Ranger College","9166"
"3316","Aviation Institute of Maintenance-Houston","28500"
"3317","Rice University","12000"
"3318","Richland College","NULL"
"3319","Saint Edward's University","25000"
"3320","St Philip's College","10500"
"3321","University of St Thomas","20500"
"3322","Sam Houston State University","22020"
"3323","San Antonio College","10409"
"3324","San Jacinto Community College","10115"
"3325","Schreiner University","23250"
"3326","Seguin Beauty School-Seguin","9833"
"3327","St. Mary's University","25466"
"3328","South Plains College","10973"
"3329","South Texas Barber College Inc","PrivacySuppressed"
"3330","South Texas College of Law Houston","PrivacySuppressed"
"3331","South Texas Vocational Technical Institute-Weslaco","10395"
"3332","Platt College-STVT-McAllen","14000"
"3333","Southern Methodist University","20006"
"3334","Southwest School of Business and Technical Careers-San Antonio","6896"
"3335","Southwest Texas Junior College","8000"
"3336","Southwestern Assemblies of God University","25500"
"3337","Southwestern University","26000"
"3338","Stephen F Austin State University","23750"
"3339","Texas State University","21218"
"3340","Southwestern Adventist University","27000"
"3341","Southwestern Christian College","PrivacySuppressed"
"3342","Sul Ross State University","15556"
"3343","Tarleton State University","19500"
"3344","Tarrant County College District","9834"
"3345","Temple College","12335"
"3346","University of Texas Southwestern Medical Center","PrivacySuppressed"
"3347","The University of Texas Health Science Center at San Antonio","15501"
"3348","The University of Texas Medical Branch at Galveston","14500"
"3349","Texarkana College","10250"
"3350","Texas A & M University-Kingsville","23250"
"3351","Texas A & M University-College Station","18265"
"3352","The University of Texas at Arlington","18166"
"3353","The University of Texas at Austin","20250"
"3354","The University of Texas at Dallas","18700"
"3355","The University of Texas at El Paso","18460"
"3356","The University of Texas at Tyler","17495"
"3357","Texas Chiropractic College Foundation Inc","PrivacySuppressed"
"3358","Texas Christian University","21500"
"3359","Texas College","31000"
"3360","University of North Texas Health Science Center","PrivacySuppressed"
"3361","Texas Lutheran University","26000"
"3362","The University of Texas Permian Basin","16206"
"3363","The University of Texas at San Antonio","21208"
"3364","Texas Southern University","29340"
"3365","Texas Tech University","22000"
"3366","Texas Wesleyan University","23495"
"3367","Texas Woman's University","19845"
"3368","Trinity University","22992"
"3369","The University of Texas Health Science Center at Houston","15000"
"3370","Texas Tech University Health Sciences Center","12500"
"3371","Tyler Junior College","11500"
"3372","Universal Technical Institute of Texas Inc.","15036"
"3373","UCAS University of Cosemtology Arts & Sciences-McAllen","7830"
"3374","Vernon College","11710"
"3375","Victoria Beauty College Inc","9659"
"3376","Victoria College","11200"
"3377","Vogue College of Cosmetology-McAllen","7917"
"3378","Wayland Baptist University","22000"
"3379","Weatherford College","9500"
"3380","West Texas A & M University","19500"
"3381","Western Texas College","6500"
"3382","Wharton County Junior College","7921"
"3383","Wiley College","24048"
"3384","AmeriTech College-Provo","23249"
"3385","Bridgerland Technical College","PrivacySuppressed"
"3386","Brigham Young University","11500"
"3387","Brigham Young University-Hawaii","9839"
"3388","Broadview University-West Jordan","15972"
"3389","Cameo College of Essential Beauty","5500"
"3390","Collectiv Academy","PrivacySuppressed"
"3391","Davis Technical College","PrivacySuppressed"
"3392","Dixie State University","15021"
"3393","Evans Hairstyling College-Cedar City","PrivacySuppressed"
"3394","Evans Hairstyling College-St George","PrivacySuppressed"
"3395","Paul Mitchell the School-Salt Lake City","10188"
"3396","Eagle Gate College-Murray","41639"
"3397","Ensign College","PrivacySuppressed"
"3398","Ogden-Weber Technical College","PrivacySuppressed"
"3399","Snow College","6086"
"3400","Southern Utah University","13085"
"3401","Stevens-Henager College","26807"
"3402","Stevens-Henager College","26807"
"3403","Uintah Basin Technical College","PrivacySuppressed"
"3404","Utah State University","14429"
"3405","Utah Valley University","15108"
"3406","Salt Lake Community College","8219"
"3407","University of Utah","18750"
"3408","Weber State University","15500"
"3409","Westminster College","22959"
"3410","Bennington College","26000"
"3411","Castleton University","25000"
"3412","Champlain College","26000"
"3413","Community College of Vermont","10510"
"3414","Goddard College","21375"
"3415","Northern Vermont University","22424"
"3416","Marlboro College","24488"
"3417","Middlebury College","13293"
"3418","New England Culinary Institute","15750"
"3419","Norwich University","25693"
"3420","O'Briens Aveda Institute","6589"
"3421","Saint Michael's College","26472"
"3422","SIT Graduate Institute","PrivacySuppressed"
"3423","Sterling College","19042"
"3424","Vermont Law School","PrivacySuppressed"
"3425","Vermont Technical College","13000"
"3426","University of Vermont","21111"
"3427","Paul Mitchell the School-Roanoke","12419"
"3428","Advanced Technology Institute","14166"
"3429","Averett University","25000"
"3430","Blue Ridge Community College","9801"
"3431","Bluefield College","21500"
"3432","Bridgewater College","26469"
"3433","William & Mary","19022"
"3434","Regent University","24313"
"3435","Central School of Practical Nursing","PrivacySuppressed"
"3436","Central Virginia Community College","8515"
"3437","Christopher Newport University","24739"
"3438","Suffolk Beauty Academy","PrivacySuppressed"
"3439","Bryant & Stratton College-Virginia Beach","20884"
"3440","Radford University-Carilion","23249"
"3441","Dabney S Lancaster Community College","10500"
"3442","Danville Community College","7900"
"3443","Eastern Virginia Medical School","PrivacySuppressed"
"3444","Centura College-Virginia Beach","14581"
"3445","Emory & Henry College","27000"
"3446","Eastern Mennonite University","25000"
"3447","Eastern Shore Community College","PrivacySuppressed"
"3448","Ferrum College","27000"
"3449","George Mason University","19750"
"3450","Germanna Community College","9500"
"3451","Hampden-Sydney College","27000"
"3452","Hampton University","26000"
"3453","Hollins University","27000"
"3454","J Sargeant Reynolds Community College","12000"
"3455","James Madison University","20500"
"3456","John Tyler Community College","9697"
"3457","Liberty University","25000"
"3458","Longwood University","25000"
"3459","Lord Fairfax Community College","9750"
"3460","University of Lynchburg","27000"
"3461","Centra College","14098"
"3462","Mary Baldwin University","26965"
"3463","University of Mary Washington","20500"
"3464","Marymount University","25000"
"3465","Sovah School of Health Professions","PrivacySuppressed"
"3466","Mountain Empire Community College","PrivacySuppressed"
"3467","American National University","12502"
"3468","New River Community College","9750"
"3469","Sentara College of Health Sciences","19399"
"3470","Tidewater Tech-Trades","9500"
"3471","Norfolk State University","30500"
"3472","Northern Virginia Community College","11000"
"3473","Old Dominion University","24697"
"3474","Patrick Henry Community College","PrivacySuppressed"
"3475","Paul D Camp Community College","6700"
"3476","Southside College of Health Sciences","12000"
"3477","Piedmont Virginia Community College","8825"
"3478","Radford University","23249"
"3479","Sylvain Melloul International Hair Academy","9500"
"3480","Randolph-Macon College","27000"
"3481","Randolph College","27000"
"3482","Rappahannock Community College","PrivacySuppressed"
"3483","Fortis College-Norfolk","NULL"
"3484","Richard Bland College","12000"
"3485","Bon Secours Memorial College of Nursing","26246"
"3486","University of Richmond","20500"
"3487","Riverside College of Health Careers","14534"
"3488","Roanoke College","27000"
"3489","Bon Secours St Mary's Hospital School of Medical Imaging","PrivacySuppressed"
"3490","Shenandoah University","25000"
"3491","Southeastern Free Will Baptist Bible College","PrivacySuppressed"
"3492","Southern Virginia University","24365"
"3493","Southside Virginia Community College","PrivacySuppressed"
"3494","Southwest Virginia Community College","PrivacySuppressed"
"3495","Staunton School of Cosmetology","PrivacySuppressed"
"3496","Strayer University-Virginia","40023"
"3497","Sweet Briar College","27000"
"3498","Thomas Nelson Community College","9500"
"3499","Tidewater Community College","9800"
"3500","Union Presbyterian Seminary","PrivacySuppressed"
"3501","The University of Virginia's College at Wise","17900"
"3502","Virginia Highlands Community College","PrivacySuppressed"
"3503","Virginia Polytechnic Institute and State University","22406"
"3504","Virginia Western Community College","11000"
"3505","Virginia Commonwealth University","21500"
"3506","University of Virginia-Main Campus","18250"
"3507","Virginia Military Institute","21500"
"3508","Asher Institute of Hampton","PrivacySuppressed"
"3509","Virginia University of Lynchburg","23375"
"3510","Virginia State University","27000"
"3511","Virginia Union University","29000"
"3512","Virginia Wesleyan University","27000"
"3513","Washington and Lee University","19500"
"3514","Wytheville Community College","8050"
"3515","Bellevue College","12500"
"3516","Bellingham Technical College","18732"
"3517","Big Bend Community College","10505"
"3518","Central Washington University","20194"
"3519","Centralia College","PrivacySuppressed"
"3520","City University of Seattle","25000"
"3521","Paul Mitchell the School-Richland","9584"
"3522","Clark College","11206"
"3523","Clover Park Technical College","11794"
"3524","Columbia Basin College","12500"
"3525","Cornish College of the Arts","27000"
"3526","Divers Institute of Technology","9500"
"3527","Eastern Washington University","19115"
"3528","Edmonds College","11250"
"3529","Everett Community College","9500"
"3530","Paroba College of Cosmetology","7917"
"3531","The Evergreen State College","19089"
"3532","Pierce College District","13296"
"3533","Glen Dow Academy of Hair Design","9346"
"3534","Gonzaga University","24250"
"3535","Grays Harbor College","9897"
"3536","Green River College","11572"
"3537","Toni & Guy Hairdressing Academy-Shoreline","12345"
"3538","Heritage University","15897"
"3539","Highline College","10486"
"3540","International Air and Hospitality Academy","6333"
"3541","Bastyr University","15000"
"3542","Highlights Beauty Schools","10555"
"3543","Bates Technical College","PrivacySuppressed"
"3544","Lake Washington Institute of Technology","15000"
"3545","Lower Columbia College","10503"
"3546","BJ's Beauty & Barber College","7550"
"3547","North Seattle College","13004"
"3548","Northwest University","20500"
"3549","Olympic College","12000"
"3550","Perry Technical Institute","13364"
"3551","Pacific Lutheran University","23000"
"3552","Peninsula College","13261"
"3553","University of Puget Sound","25962"
"3554","Renton Technical College","7807"
"3555","Saint Martin's University","22933"
"3556","South Seattle College","PrivacySuppressed"
"3557","Seattle Central College","11000"
"3558","Seattle Pacific University","25000"
"3559","Seattle University","20500"
"3560","Shoreline Community College","12000"
"3561","Skagit Valley College","12735"
"3562","South Puget Sound Community College","11000"
"3563","Spokane Community College","13000"
"3564","Spokane Falls Community College","12000"
"3565","Stylemaster College of Hair Design","8392"
"3566","Tacoma Community College","12000"
"3567","Walla Walla Community College","12877"
"3568","Walla Walla University","26746"
"3569","Washington State University","20000"
"3570","University of Washington-Seattle Campus","15000"
"3571","Wenatchee Valley College","10240"
"3572","Western Washington University","18993"
"3573","Whatcom Community College","9917"
"3574","Whitman College","17300"
"3575","Whitworth University","25000"
"3576","Yakima Valley College","12500"
"3577","Alderson Broaddus University","26459"
"3578","Appalachian Beauty School","PrivacySuppressed"
"3579","Appalachian Bible College","7750"
"3580","B M Spurr School of Practical Nursing","PrivacySuppressed"
"3581","Ben Franklin Career Center","PrivacySuppressed"
"3582","Bethany College","27000"
"3583","Bluefield State College","19000"
"3584","Cabell County Career Technology Center","PrivacySuppressed"
"3585","Charleston School of Beauty Culture","6333"
"3586","University of Charleston","19001"
"3587","Clarksburg Beauty Academy and School of Massage Therapy","6300"
"3588","Concord University","18557"
"3589","Davis & Elkins College","27000"
"3590","Fairmont State University","21250"
"3591","Glenville State College","24000"
"3592","Huntington Junior College","21530"
"3593","James Rumsey Technical Institute","PrivacySuppressed"
"3594","Ralph R Willis Career and Technical Center","PrivacySuppressed"
"3595","Marshall University","23958"
"3596","Mercer County Technical Education Center","PrivacySuppressed"
"3597","Meredith Manor International Equestrian Center","12000"
"3598","Monongalia County Technical Education Center","PrivacySuppressed"
"3599","Morgantown Beauty College Inc","7448"
"3600","Mountain State College","PrivacySuppressed"
"3601","Ohio Valley University","24750"
"3602","West Virginia University at Parkersburg","15995"
"3603","Potomac State College of West Virginia University","22786"
"3604","Academy of Careers and Technology","PrivacySuppressed"
"3605","Salem University","21604"
"3606","Shepherd University","21170"
"3607","Southern West Virginia Community and Technical College","PrivacySuppressed"
"3608","Fred W Eberle Technical Center","PrivacySuppressed"
"3609","West Virginia School of Osteopathic Medicine","PrivacySuppressed"
"3610","West Virginia State University","23894"
"3611","West Virginia University Hospital Departments of Rad Tech and Nutrition","PrivacySuppressed"
"3612","West Liberty University","24250"
"3613","West Virginia University Institute of Technology","22786"
"3614","West Virginia Wesleyan College","27000"
"3615","West Virginia Junior College-Charleston","7836"
"3616","West Virginia Junior College-Morgantown","8848"
"3617","International Beauty School 4","8227"
"3618","West Virginia Northern Community College","9636"
"3619","West Virginia University","22786"
"3620","Wheeling University","26092"
"3621","Wood County School of Practical Nursing","PrivacySuppressed"
"3622","VICI Beauty School","6212"
"3623","Alverno College","27000"
"3624","Madison Area Technical College","14000"
"3625","Bellin College","17792"
"3626","Beloit College","26000"
"3627","Blackhawk Technical College","9308"
"3628","Cardinal Stritch University","31000"
"3629","Carroll University","27000"
"3630","Carthage College","26000"
"3631","Columbia College of Nursing","NULL"
"3632","Concordia University-Wisconsin","25478"
"3633","Edgewood College","24431"
"3634","Fox Valley Technical College","10567"
"3635","Gateway Technical College","12250"
"3636","The Professional Hair Design Academy","PrivacySuppressed"
"3637","Lakeland University","25000"
"3638","Lakeshore Technical College","7000"
"3639","Lawrence University","25947"
"3640","Maranatha Baptist University","15875"
"3641","Marian University","25268"
"3642","Marquette University","24000"
"3643","Medical College of Wisconsin","PrivacySuppressed"
"3644","Mid-State Technical College","8000"
"3645","Milwaukee Area Technical College","13953"
"3646","Milwaukee Institute of Art & Design","27000"
"3647","Milwaukee School of Engineering","27000"
"3648","Moraine Park Technical College","9460"
"3649","Mount Mary University","26000"
"3650","Nashotah House","PrivacySuppressed"
"3651","Nicolet Area Technical College","8000"
"3652","Northcentral Technical College","7994"
"3653","Northeast Wisconsin Technical College","11250"
"3654","Northland College","24500"
"3655","Ripon College","27000"
"3656","Sacred Heart Seminary and School of Theology","NULL"
"3657","Saint Norbert College","26912"
"3658","Holy Family College","25673"
"3659","State College of Beauty Culture Inc","PrivacySuppressed"
"3660","Southwest Wisconsin Technical College","7118"
"3661","Viterbo University","26316"
"3662","Chippewa Valley Technical College","12000"
"3663","Waukesha County Technical College","12211"
"3664","Western Technical College","11500"
"3665","University of Wisconsin-Whitewater","23223"
"3666","Wisconsin Indianhead Technical College","8250"
"3667","Wisconsin School of Professional Psychology","PrivacySuppressed"
"3668","University of Wisconsin-Eau Claire","21500"
"3669","University of Wisconsin-Green Bay","18750"
"3670","University of Wisconsin-La Crosse","22297"
"3671","Wisconsin Lutheran College","26000"
"3672","University of Wisconsin-Oshkosh","22068"
"3673","University of Wisconsin-Parkside","21375"
"3674","Herzing University-Madison","22052"
"3675","University of Wisconsin-Stout","23825"
"3676","University of Wisconsin-Superior","23750"
"3677","University of Wisconsin-Madison","20500"
"3678","University of Wisconsin-Milwaukee","23948"
"3679","University of Wisconsin-Platteville","21986"
"3680","University of Wisconsin-River Falls","20500"
"3681","University of Wisconsin-Stevens Point","22140"
"3682","Casper College","10146"
"3683","Central Wyoming College","8152"
"3684","Eastern Wyoming College","6851"
"3685","Laramie County Community College","10500"
"3686","Northwest College","10804"
"3687","Northern Wyoming Community College District","9334"
"3688","Western Wyoming Community College","9323"
"3689","Cheeks Beauty Academy","6796"
"3690","WyoTech","6800"
"3691","University of Wyoming","18318"
"3692","American Samoa Community College","PrivacySuppressed"
"3693","Guam Community College","PrivacySuppressed"
"3694","University of Guam","17671"
"3695","Northern Marianas College","PrivacySuppressed"
"3696","Institute of Beauty Careers","PrivacySuppressed"
"3697","Educational Technical College-Recinto de Bayamon","PrivacySuppressed"
"3698","American University of Puerto Rico","5200"
"3699","American University of Puerto Rico","5200"
"3700","American Educational College","PrivacySuppressed"
"3701","Antilles School of Technical Careers","PrivacySuppressed"
"3702","Universidad Adventista de las Antillas","17500"
"3703","Atlantic University College","5500"
"3704","Universidad Central de Bayamon","8250"
"3705","Columbia Central University-Caguas","5064"
"3706","Albizu University-San Juan","5500"
"3707","Caribbean University-Bayamon","10750"
"3708","Caribbean University-Carolina","10750"
"3709","Pontifical Catholic University of Puerto Rico-Arecibo","15525"
"3710","Pontifical Catholic University of Puerto Rico-Ponce","15525"
"3711","CEM College-San Juan","5000"
"3712","Universidad Teologica del Caribe","12600"
"3713","Colegio Universitario de San Juan","PrivacySuppressed"
"3714","Universidad Ana G. Mendez-Cupey Campus","14261"
"3715","Conservatory of Music of Puerto Rico","10625"
"3716","Center for Advanced Studies On Puerto Rico and the Caribbean","PrivacySuppressed"
"3717","EDP University of Puerto Rico Inc-San Sebastian","11400"
"3718","Emma's Beauty Academy-Mayaguez","PrivacySuppressed"
"3719","Escuela de Artes Plasticas y Diseno de Puerto Rico","PrivacySuppressed"
"3720","Instituto Tecnologico de Puerto Rico-Recinto de Manati","PrivacySuppressed"
"3721","Huertas College","6875"
"3722","Humacao Community College","PrivacySuppressed"
"3723","ICPR Junior College-Arecibo","PrivacySuppressed"
"3724","ICPR Junior College-Mayaguez","PrivacySuppressed"
"3725","Richport Technical College","PrivacySuppressed"
"3726","Instituto Tecnologico de Puerto Rico-Recinto de Guayama","PrivacySuppressed"
"3727","Instituto Tecnologico de Puerto Rico-Recinto de Ponce","PrivacySuppressed"
"3728","Instituto Tecnologico de Puerto Rico-Recinto de San Juan","PrivacySuppressed"
"3729","Inter American University of Puerto Rico-San German","8250"
"3730","Inter American University of Puerto Rico-Aguadilla","6850"
"3731","Inter American University of Puerto Rico-Arecibo","8725"
"3732","Inter American University of Puerto Rico-Barranquitas","4300"
"3733","Inter American University of Puerto Rico-Metro","NULL"
"3734","Inter American University of Puerto Rico-Ponce","5750"
"3735","Inter American University of Puerto Rico-Fajardo","6375"
"3736","Inter American University of Puerto Rico-Guayama","9450"
"3737","Inter American University of Puerto Rico-Bayamon","8250"
"3738","Inter American University of Puerto Rico-School of Law","PrivacySuppressed"
"3739","International Technical College","PrivacySuppressed"
"3740","Liceo de Arte y Tecnologia","3500"
"3741","Modern Hairstyling Institute-Bayamon","PrivacySuppressed"
"3742","Modern Hairstyling Institute-Arecibo","PrivacySuppressed"
"3743","NUC University","10500"
"3744","Ponce Health Sciences University","PrivacySuppressed"
"3745","University of Puerto Rico-Aguadilla","5500"
"3746","University of Puerto Rico-Arecibo","4500"
"3747","University of Puerto Rico-Bayamon","5500"
"3748","University of Puerto Rico-Carolina","4399"
"3749","University of Puerto Rico-Cayey","5000"
"3750","University of Puerto Rico-Humacao","5500"
"3751","University of Puerto Rico-Utuado","4500"
"3752","University of Puerto Rico-Mayaguez","8250"
"3753","University of Puerto Rico-Medical Sciences","5500"
"3754","University of Puerto Rico-Ponce","5500"
"3755","University of Puerto Rico-Rio Piedras","5500"
"3756","Universidad Ana G. Mendez-Carolina Campus","13000"
"3757","Universidad del Sagrado Corazon","16750"
"3758","Seminario Evangelico de Puerto Rico","PrivacySuppressed"
"3759","Universidad Central Del Caribe","7500"
"3760","Universidad Politecnica de Puerto Rico","22563"
"3761","Pontifical Catholic University of Puerto Rico-Mayaguez","15525"
"3762","Universidad Ana G. Mendez-Gurabo Campus","12158"
"3763","College of Micronesia-FSM","PrivacySuppressed"
"3764","Palau Community College","PrivacySuppressed"
"3765","University of the Virgin Islands","16500"
"3766","Stanford University","12000"
"3767","Purdue University-Main Campus","19500"
"3768","Blue Hills Regional Technical School","8929"
"3769","Parker University","10500"
"3770","EDP University of Puerto Rico Inc-San Juan","11400"
"3771","ICPR Junior College","PrivacySuppressed"
"3772","City College-Fort Lauderdale","27249"
"3773","Meridian College","13000"
"3774","Georgia State University-Perimeter College","21500"
"3775","Georgia Piedmont Technical College","12800"
"3776","ETI School of Skilled Trades","9500"
"3777","Traxlers School of Hair","PrivacySuppressed"
"3778","Warren County Community College","10500"
"3779","St. John's College","27000"
"3780","Bais Medrash Elyon","PrivacySuppressed"
"3781","Antioch University-Los Angeles","24963"
"3782","Antioch University-Santa Barbara","24963"
"3783","Antioch University-New England","24963"
"3784","Antioch University-Seattle","24963"
"3785","Antioch University-Midwest","24963"
"3786","Mid-America Christian University","25000"
"3787","Platt College","14000"
"3788","Ponca City Beauty College","PrivacySuppressed"
"3789","Francis Tuttle Technology Center","PrivacySuppressed"
"3790","Central Technology Center","PrivacySuppressed"
"3791","Carrington College-Portland","8926"
"3792","Career Technology Center of Lackawanna County","16108"
"3793","Houston Graduate School of Theology","PrivacySuppressed"
"3794","Palo Alto College","10500"
"3795","Sebring Career Schools-Huntsville","PrivacySuppressed"
"3796","UCAS University of Cosmetology Arts & Sciences-San Antonio 410","6728"
"3797","Central Texas Beauty College-Round Rock","PrivacySuppressed"
"3798","Unification Theological Seminary","PrivacySuppressed"
"3799","Athens Technical College","PrivacySuppressed"
"3800","GateWay Community College-Central City","6750"
"3801","Headmasters School of Hair Design","11278"
"3802","The Salon Professional Academy-Nampa","9045"
"3803","Beckfield College-Florence","24666"
"3804","Dorsey School of Business-Wayne","13000"
"3805","Ecumenical Theological Seminary","PrivacySuppressed"
"3806","Ross Medical Education Center-Saginaw","9500"
"3807","Sussex County Community College","11000"
"3808","Landmark College","21250"
"3809","Yeshiva Gedolah of Greater Detroit","PrivacySuppressed"
"3810","Austin Graduate School of Theology","PrivacySuppressed"
"3811","Collin County Community College District","7560"
"3812","Owensboro Community and Technical College","7617"
"3813","Jenny Lea Academy of Cosmetology","PrivacySuppressed"
"3814","Empire Beauty School-Hurstborne","11250"
"3815","Cloyd's Beauty School 3 Inc","PrivacySuppressed"
"3816","Moore Norman Technology Center","PrivacySuppressed"
"3817","Fayette County Career & Technical Institute Practical Nursing Program","PrivacySuppressed"
"3818","Franklin County Career and Technology Center","14760"
"3819","Paul Mitchell the School-Knoxville","14964"
"3820","Ogle School Hair Skin Nails-Hurst","7917"
"3821","Tennessee College of Applied Technology Nashville","PrivacySuppressed"
"3822","ECPI University","20000"
"3823","Branford Hall Career Institute-Jersey City","6698"
"3824","Paul Mitchell the School-Houston","12600"
